Word,Definition
Snow squalls,"Intense, but of limited duration, periods of moderate to heavy snowfall, accompanied by strong, gusty surface winds and possible lightning. In Canada, it is described that a snow squall brings strong winds, flurries and poor visibility."
Snowfall,The depth of new snow that has accumulated since the previous day or since the previous observation.
Snowflake,White ice crystals that have combined in a complex branched hexagonal form.
Special marine warning,Issued for brief or sudden occurrence of sustained wind or frequent gusts of 34 knots or more. This is usually associated with severe thunderstorms or waterspouts.
Spray,"An ensemble of water droplets torn by the wind from an extensive body of water, generally from the crests of waves, and carried up into the air in such quantities that it reduces the horizontal visibility."
Squall,"A strong wind characterized by a sudden onset in which the wind speed increases at least 16 knots and is sustained at 22 knots or more for at least one minute. In Canada, a squall is defined as a strong, sudden wind which generally lasts a few minutes then quickly decreases in speed. In Australia, it is described as a sudden increase of the mean wind speed which lasts for several minutes at least before the mean wind returns to near its previous value."
Stability,An indication of how easily a parcel of air is lifted. If the air is very stable it is difficult to make the parcel rise. If the air is very unstable the parcel may rise on its own once started.
Stable air,"Air with little or no tendency to rise, usually accompanied by clear dry weather."
Steam fog,Fog that is formed when water vapor is added to air which is much colder than the vapor's source. This is most common when very cold air drifts across relatively warm water.
Steering winds (steering currents),A prevailing synoptic scale flow which governs the movement of smaller features embedded within it.
Storm,"In marine usage, winds 48 knots (55 miles per hour) or greater."
Storm surge,A rise of the sea level alone the shore that builds up as a storm (usually a hurricane) moves over water. It is a result of the winds of the storm and low atmospheric pressures.
Storm warning,A marine wind warning for sustained winds greater of 48 knots (55 miles per hour) or more from a non-tropical system.
Straight line winds,Thunderstorm winds most often found with the gust front.
Subtropical storm,A low pressure system that develops in subtropical waters (north of 20 north degrees latitude) and initially has non-tropical features (see table below for a list of tropical features) but does have some element of a tropical cyclone's cloud structure (located close to the center rather than away from the center of circulation).
Sunny,Sunny or a few clouds means that less than half the sky has clouds.
Supercell,A severe thunderstorm whose updrafts and downdrafts are in near balance allowing the storm to maintain itself for several hours. Supercells often produce large hail and tornadoes.
Supersaturation,The condition which occurs in the atmosphere when the relative humidity is greater than 100 percent.
Temperature,A measure of the warmth or coldness of an object or substance with reference to a standard value.
Thunder,The sound caused by a lightning stroke as it heats the air and causes it to rapidly expand.
Thunderstorm,"A storm with lightning and thunder produced by a Cumulonimbus cloud, usually producing gusty winds, heavy rain and sometimes hail. In Australia, they are described to be usually short-lived and hit on only a small area."
Tilted storm or tilted updraft,"A thunderstorm or cloud tower which is not purely vertical but instead exhibits a slanted or tilted character. It is a sign of vertical wind shear, a favorable condition for severe storm development."
Today,Until sunset.
Tomorrow,Midnight to midnight.
Tonight,Sunset to midnight.
Tornado,"A violent rotating column of air, in contact with the ground, pendant from a cumulonimbus cloud. A tornado does not require the visible presence of a funnel cloud. It has a typical width of tens to hundreds of meters and a lifespan of minutes to hours."
Trade winds,Persistent tropical winds that blow from the subtropical high pressure centers towards the equatorial low. They blow northeasterly in the northern hemisphere.
Tropical storm,"An organized low pressure system in the tropics with wind speeds between 38 and 74 miles per hour. In Australia, it is a term used in the northern hemisphere for a tropical cyclone."
Tropical storm warning,A warning issued when sustained winds of 39 to 73 miles per hour (34 to 63 knots) are expected within 24 hours.
Trough,"A warning issued when sustained winds of 39 to 73 mph (34 to 63 knots) are expected within 24 hours. In Canada, it is described as an elongated area of relatively low pressure extending from the centre of a region of low pressure."
Turbulence,A warning issued when sustained winds of 39 to 73 miles per hour (34 to 63 knots) are expected within 24 hours.
Twister,A colloquial term for a tornado.
Typhoon,A hurricane that forms in the Western Pacific Ocean. It is a term used in Australia for a tropical cyclone in the northwestern Pacific with maximum winds above 117 kilometers per hour (63 knots).
Unstable air,Air that rises easily and can form clouds and rain.
Very cool,"Very cool, in the summer, refers to more than seven degrees Celsius below normal."
Very mild,"In the winter, very mild means more than seven degrees Celsius above normal."
Warm,"In summer, warm refers to four to seven degrees Celsius above normal."
Warm front,"A narrow transitions zone separating advancing warmer air from retreating cooler air. The air behind a warm front is warmer and typically more humid than the air it is replacing. In Canada, it is defined as the trailing edge of a retreating cold air mass and moves in such a way that the warmer air replaces the colder air."
Wave,"In meteorology any pattern identifiable on a weather map that has a cyclic pattern or a small cyclonic circulation in the early stages of development that moves along a cold front. In Canada, A wave, in meteorology, is the intersection of warm and cold fronts."
Weather,"State of the atmosphere with respect to heat or cold, wetness or dryness, calm or storm, clearness or cloudiness. Also, weather is the meteorological day-to-day variations of the atmosphere and their effects on life and human activity. It includes temperature, pressure, humidity, clouds, wind, precipitation and fog."
Wind,"Wind is the horizontal movement of air relative to the earth's surface and is caused by variations in temperature and pressure (for instance, air rises as it warms and a cool breeze moves in to take the place of the rising air.) Wind is also known as moving air."
Wind chill,"The additional cooling effect resulting from wind blowing on bare skin. The wind chill is based on the rate of heat loss from exposed skin caused by the combined effects of wind and cold. The (equivalent) wind chill temperature is the temperature the body ""feels"" for a certain combination of wind and air temperature."
Winter storm,A heavy snow event. A snow accumulation of more than six inches in 12 hours or more than 12 inches in 24 hours.
Winter storm warning,"Issued when seven or more inches of snow or sleet is expected in the next 24 hours, or 1/2 inch or more of accretion of freezing rain is expected. A warning is used for winter weather conditions posing a threat to life and property."
X-ray,"An electromagnetic wave of very short wavelength, able to pass through many materials opaque to light."
Xenon,"An inert gaseous chemical element, present in trace amounts in the air and used in some kinds of electric light."
Yellow wind,"A strong, cold, dry west wind of eastern Asia that blows across the plains during winter and carries a yellow dust from the desert."
Youg,A hot wind during unsettled summer weather in the Mediterranean.
Zonal flow,A small amplitude pattern where winds blow mostly west-to-east.
Zonal wind,Wind blowing east-to-west or west-to-east.
Zulu time,"The mean solar time for the meridian at Greenwich, England, used as a basis for calculating time in communications, military, aviation, maritime and other activities that cross time zones. Zulu time, which is also known as Coordinated Universal Time (UTC), is used internally among people working in the field of weather and meteorology, as well as among weather enthusiasts, for weather reports and forecasts."
